=== readerc(1).zar ===
vehicles.rdr: lists=66 depth=4 bad_strings=0
validated 15 RDR leaves; bad string cells=0

=== readerm(2).zar ===
actions.rdr: lists=17 depth=4 bad_strings=0
aimaps.rdr: lists=5 depth=4 bad_strings=0
chartype.rdr: lists=29 depth=4 bad_strings=0
clutter.rdr: lists=24 depth=4 bad_strings=0
dyntex.rdr: lists=3 depth=2 bad_strings=0
layers.rdr: lists=8 depth=4 bad_strings=0
map.rdr: lists=6 depth=2 bad_strings=0
mission.rdr: lists=142 depth=4 bad_strings=0
mp9.rdr: lists=465 depth=5 bad_strings=0
valves.rdr: lists=13 depth=4 bad_strings=0
mp9_lib.rdr: lists=473 depth=5 bad_strings=0
vehicles.rdr: lists=9 depth=4 bad_strings=0
validated 12 RDR leaves; bad string cells=0

=== readerm(3).zar ===
aimaps.rdr: lists=3 depth=2 bad_strings=0
layers.rdr: lists=8 depth=4 bad_strings=0
mission.rdr: lists=2 depth=1 bad_strings=0
ui.rdr: lists=210 depth=5 bad_strings=0
anim_lib.rdr: lists=67 depth=4 bad_strings=0
hype_lib.rdr: lists=37 depth=4 bad_strings=0
ld11_lib.rdr: lists=12 depth=4 bad_strings=0
ld12_lib.rdr: lists=12 depth=4 bad_strings=0
ld13_lib.rdr: lists=12 depth=4 bad_strings=0
ld15_lib.rdr: lists=12 depth=4 bad_strings=0
ld16_lib.rdr: lists=12 depth=4 bad_strings=0
ld17_lib.rdr: lists=12 depth=4 bad_strings=0
ld19_lib.rdr: lists=12 depth=4 bad_strings=0
ld21_lib.rdr: lists=12 depth=4 bad_strings=0
ld5_lib.rdr: lists=12 depth=4 bad_strings=0
ld6_lib.rdr: lists=12 depth=4 bad_strings=0
ld8_lib.rdr: lists=12 depth=4 bad_strings=0
ld9_lib.rdr: lists=12 depth=4 bad_strings=0
lmp1_lib.rdr: lists=12 depth=4 bad_strings=0
lmp2_lib.rdr: lists=12 depth=4 bad_strings=0
lmp4_lib.rdr: lists=12 depth=4 bad_strings=0
lmp5_lib.rdr: lists=12 depth=4 bad_strings=0
lmp6_lib.rdr: lists=12 depth=4 bad_strings=0
lmp7_lib.rdr: lists=12 depth=4 bad_strings=0
lmp8_lib.rdr: lists=12 depth=4 bad_strings=0
lmp9_lib.rdr: lists=12 depth=4 bad_strings=0
lp10_lib.rdr: lists=12 depth=4 bad_strings=0
lp11_lib.rdr: lists=12 depth=4 bad_strings=0
lp12_lib.rdr: lists=12 depth=4 bad_strings=0
mm05_lib.rdr: lists=17 depth=4 bad_strings=0
mm06_lib.rdr: lists=17 depth=4 bad_strings=0
mm08_lib.rdr: lists=17 depth=4 bad_strings=0
mm09_lib.rdr: lists=17 depth=4 bad_strings=0
mm11_lib.rdr: lists=17 depth=4 bad_strings=0
mm12_lib.rdr: lists=17 depth=4 bad_strings=0
